fold,subject,role
1,1,source_train
1,11,source_train
1,13,source_train
1,14,source_train
1,16,source_train
1,24,source_train
1,33,source_train
1,34,source_train
1,36,source_train
1,39,source_train
1,2,source_validation
1,17,source_validation
1,4,pseudo_target
1,5,pseudo_target
1,15,pseudo_target
1,26,pseudo_target
2,2,source_train
2,4,source_train
2,11,source_train
2,13,source_train
2,15,source_train
2,24,source_train
2,26,source_train
2,33,source_train
2,34,source_train
2,36,source_train
2,5,source_validation
2,17,source_validation
2,1,pseudo_target
2,14,pseudo_target
2,16,pseudo_target
2,39,pseudo_target
3,1,source_train
3,4,source_train
3,5,source_train
3,13,source_train
3,14,source_train
3,15,source_train
3,16,source_train
3,17,source_train
3,34,source_train
3,36,source_train
3,26,source_validation
3,39,source_validation
3,2,pseudo_target
3,11,pseudo_target
3,24,pseudo_target
3,33,pseudo_target
4,1,source_train
4,2,source_train
4,4,source_train
4,5,source_train
4,11,source_train
4,14,source_train
4,16,source_train
4,24,source_train
4,26,source_train
4,33,source_train
4,15,source_validation
4,39,source_validation
4,13,pseudo_target
4,17,pseudo_target
4,34,pseudo_target
4,36,pseudo_target
